system   D            wsystem.c:583  maybe_parent_dir                 [   0.00053] Also searching C:\Users\heno\documents\visual studio 2010\Projects\Scrapheap Spaceships\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00086] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00088] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00699] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.05904] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.05920] Allegro version: 5.0.8
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.05998] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.06000] al_display=025D5718
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.06002] al_display->vt=025D5650
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08384] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.08388] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08391] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08393] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08395] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08397] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08399] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08401] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08403] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08405] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08407] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08409] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08411] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08413] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08416] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08417] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08420] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08421] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08424] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08425] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08428] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08430] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08432] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08434] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08456] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08463] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08472] Score is : 897
